,Title,Company,Location,Date,Scrape Date,Summary,Salary,Url
10,Data-Analist,Gemeente Valkenswaard,Gemeente Valkenswaard,7 dagen geleden,2021-03-05,"Minstens drie jaar ervaring als data-analist, businessanalist of in een soortgelijke functie.
Eugenie kan je in contact brengen met de huidige data-analist voor…",€4.494 per maand,https://nl.indeed.com/rc/clk?jk=7f8fe03c5484706b&fccid=96bb5fdb07fcd616&vjs=3
11,Data analist,Eneco,Nederland,6 dagen geleden,2021-03-05,"Je het 3-5 jaar werkervaring als data analist;
Voor jou als data analist is hier een belangrijke rol weggelegd.
We doen dit voor de gehele Eneco organisatie.",€70.000 per jaar,https://nl.indeed.com/rc/clk?jk=9b8b8e70f8af0681&fccid=0f752a0010ef00e0&vjs=3
12,Customer Intelligence Analist,DELTA Fiber Nederland,Schiedam,Zojuist geplaatst,2021-03-05,"Jij bent het data geweten van dit team!
Hiervoor gebruik je (de nieuwste) geavanceerde analyse en big data technieken.
Jouw nieuwe werk en afdeling*.",€3.200 - €4.500 per maand,https://nl.indeed.com/company/Delta-Fiber-Nederland/jobs/Customer-Intelligence-Analist-db8a9499759e316e?fccid=74a2751fd6ac91d4&vjs=3
13,Data analist | Zwolle,Teleperformance Benelux,Zwolle,13 dagen geleden,2021-03-05,"Spotter, opgraver én duider van data-pareltjes.
Omdat je gelooft in de voorspellende kracht van data en dat geloof uitstraalt.
Liefst met een gouden randje.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnUmFDJx9Oif53EHg4peBlrsbvJFgQ4TDd1rAdS1A9_LKioEsQjmuA348M7TUgEo3ikT7oY_eWjwrLNqLMEoZ0v_GbF4MQTT_F3w00BQ27RlozKR4emVcG4RvjH1bukq3CnAQDDKkP99gN8diCCwh45Z219xwc18c-wYt60jdhbHAFbldGgZtWgBgjc48CVnajyQglOv2KqIUyQ6No1pKybTO8JjdZhVfEFQ4obD7OflyIP4v45ZgrjzHh1g9B9bir4I7SJSf7bM2sC1TzxJl_GOnvJXmhlN0BcNL_TXdsxTf0LcYpEvps0lyTlT3UAMoFCa3yyRh0p8tJ3ibCsGNwOZOE3G2o_-AYQLeFue2FKhMMsnauUvMp2T7LQBBYaQNmCv1JY1ksqA1ItB40ywUqFXd1sme2mhETa7GYWn0zJBSxAOs96xXpcD2kzBrt0EpjXmxv1Qc-okQCwEIOgAKB8fP_pQ7e50Hr-Lp_SP6qJsDCW5BmDyXtSfesYT9aETUWPA9txZPRstbXrvFrFVMqJt8F-y8SOVC68QqgbbYdap-3VWywyT7-dagiiSaXMM3CXXUiJHRV_FcY1oq3O00LtpcUqb5fqMKEYyyevhTwNSRTOpQg-HP2YVZVHU1-B45b2tIWlUiNYVH04XPlAZAv3wWGekNR76TDA9XHbn7oNCXFkWmZmF1R98yUW5U21EL7Pc1wUaCw2MpKLgDqwoKsUMpLS2ctpJO4pbODASaVbQ==&p=13&fvj=0&vjs=3
14,Data Analist,Dynagroup,Nuth,16 dagen geleden,2021-03-05,Het verwerken van beschikbare data en het omzetten ervan naar concrete inzichten om onze processen te verbeteren en ons efficiënter te laten werken.,,https://nl.indeed.com/company/Dynagroup/jobs/Data-Analist-f525346a1e0593f4?fccid=754c550af6fe6bf0&vjs=3
15,Traineeship: Data Analist,Createment,Eindhoven,3 dagen geleden,2021-03-05,"De data-wereld ligt aan jouw voeten.
Ervaring in data-analyse is niet nodig, wél breng je mee.
Gewoon omdat je hard werkt, IT, online marketing en data gaaf…",€2.500 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQVpz0dABwcJxPL6ZF89l8aMZ4ujW6gW5aOiSkCGD8kFV8HXpgi727Omxjhihm0EipkcS3-z-sPOCnggwUtodXRHTnFvhTaezc0CL9YbpLO8q7F_4VL8cADy53OexmiVjyGk-BqxjpLnY4l7blENZlG_B-vU3dJLI_tJUKh0shmhbuyuLxjS2alvHWdebAZ7yHhV7oKLnhSVYv_heWh_q-Cw_B4TKzzxAa9LE5mpmk6QJoAOU6xbyxKqaoi9Pdirs_z4T99ks1FH_l3D7RsaDLfinB3gFufWYeuxe9NAVSvv2havQ-7qwYO-RotTlFXhxGFWWcCAlTa5GeoEpzRwsgDC6XF3ofLU20pWv7uimrEUm0_fOTP2TBfDoXQnRW0EZw08qA3DOlDa4fKbDp45v1SwAWYo9sn3-o1vTVieN_txMBbWQpgssmkOd6r8hvhB91RE51QdiXGMxj4HH9P6oMXDmQWiOwt3ejZhv9V6CBeCCx6N6In6Umvd103B_xGaGijcN4ObfN2LwkTA22Jm4COGyMC_k9XIdIedkgZPJik8RQV6_x8Nlb9j0kPyy9ufOez_KfSfXYco1EGO8ccRwXl1RlKxifShD9F2CfVZFx2ye_opDzF0coXLDa-ExgeLhZiXEl6M-I-w==&p=0&fvj=0&vjs=3
16,Data Analist Sociale Zekerheid,Aon,Rotterdam,Meer dan 30 dagen geleden,2021-03-05,Data Analist Sociale…,€2.900 - €4.500 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUr1ih89J8xlxnhfvrvaSPyfeHEUaTmnzB_AydzFDKnIiZ_IebOX6YqBg3HhWjqsvLYdBMllfluWYNSinSxvVzZuTqC-wIeneBQv7gsmOlldH-883T2mDzowXLByP9ZO5WzCurSNNqTF8WDshFfeqFu5hfbQ_2vxE53uR4XbWBhIWA6F5nTfCQxkpuarxQD4haataMd988T6muQ_jHvV68Yke6X5So49KLpvCamPphE7JVvStg0TXnvWkhotLrPLXKsd-_7cavi-iY9nGk85clwp5n1VMpmGb9ho6JVz6tc7FEEpIGbN-Rs750ghp20yEQIlN_CB8e5HMWgfTwlxHO_zViGGl-LImKdhy3_qG7rJB75TTHr2vpHHLvS0BYq_CzgY9dv54rdQKJK9UHC0nnEI8_mrLOiXU8BZKCqMEaW6ldjSYy5V_RjN5_4Bnz1ZsJ_SyG9ugnZL8C5kJmH85FmoA9ViL20Rm2KpifXztpEFEDQCpNhIobvkTja9kAn5NiiOU9NdnlAMYwiktzkTa9yhxFTR3MQnbER3RF3fA0D1MWaWg9mGWQHK3I8PtJ2Uv9xlsRrfEEAUDY1UZeZwa0aySlums2I30cAcKnZZsILzUKmNzw599W&p=1&fvj=0&vjs=3
17,CRO / Marketing Data Analist,Rotom Nederland B.V.,Best,7 dagen geleden,2021-03-05,"Als CRO / marketing data analist word je onderdeel van een jong en dynamisch team met daarin drie directe collega’s en een teamleider.
Wat vragen wij van jou?*.",,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AIc4BrRAsVe3RSkDVo-za-HAUPmuCgbStg4LwmkcnEQuxc0c8N1QliRrvUKzd4uoUP_9J0MKqhNps4aw9hdJHMqIILiwlr4uaq411JxNW3oG6S78tSXVYjet66dER4tlfYTu9iYWPfsgTAwrDOC7_LoNzCs_FakuJ0qTikxGZF3UiS7Y_MLr4oklEZm_SCl7oZAcUY5Xa9rbWIKPUWsk5CaKguvBOvKQo4HQ8SX9NAsnlI45QgzhdGkM6djULplgAhLUNd8BBHFu7daIEOJms29gXcB1IWp0uV2brf1WyXdhgH7D5z_UIV7LY4tn8j68WgTHXFmHBfJd1g-ydPRqbDd_EW_jx1oZjsxImGii0pvPkwESMoOkVedENluDbluvv_VAfJIW5oeorNClj2h8y4gqJaL3nc2MHTTqLyWNJUVWMIjjI9olg4_0PuRN2tMkngDQdk__bo7qiIY_1oJdB8&p=2&fvj=1&vjs=3
18,Data Analist,TreeHouse,Rotterdam,9 dagen geleden,2021-03-05,Dit team is verantwoordelijk voor het verzamelen en waarborgen van de de kwaliteit van onze data en ons als organisatie helpen om deze data inzichtelijk te…,,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbOies5qPN1BgKwdkTD8LtNSbl3vQGA32DWrLLWCjoLzVAWZwBSsl5ZoP9TMWGTon7uEA1ujWF9BV1O6X46CjsgekV17gmvPRwqz2bu8JBySiI6EfE5lT_Yna2NjSbpaF-1hgJ21d6yAUOA97_HZDiFqYs6m_mEKg6jqEZSeC6jfxxRmwVcyFEzXOMpqEAsjztF2R1SH0jYG7Ix4pRYHkLgZ0M_khHAVt2gYQo4c0N-nMhN3GZVm7ajP9GLJ4JQ5YrSkXf1ge3sBxnTcLhcZ6Fs-SBZNPQHTu3uhetDn6Uw_pHYWoRfXPkFWZq9NnUDbyjqd_viJNc4t07T5DGLmXEX8MZZeYccBvpH-iW41tt26tpkS4f8rnIwSJBhkGbN1Ja6C7DgC1IWkp8XZuWxj2spZcybhu_iRDPKElaMAxwjL9tEcZfnwxwR0r7QnYYS6RrmKaPMAJ-lQ==&p=3&fvj=1&vjs=3
19,Data-analist,ZOwonen,Sittard,12 dagen geleden,2021-03-05,"Data-analist (36 uur per week).
In de functie van Data-analist ben je verantwoordelijk voor het (adviseren over het) (vastgoed)databeheer en het maken van data…",€3.680 - €4.971 per maand,https://nl.indeed.com/rc/clk?jk=f0b0072c81e01ad3&fccid=f3cd150236137ea0&vjs=3
20,Data Analist Commercie,Ahold Dellhaize,Zaandam,13 dagen geleden,2021-03-05,"Een data-gedreven organisatie, waar de stakeholders het belang van data-gedreven werken erkennen.
Een uitdagende functie met de mogelijkheid om te werken met…",,https://nl.indeed.com/rc/clk?jk=36dbec7ae3b622d5&fccid=237b07f71d39adc8&vjs=3
21,Adviseur (data-analist),Ministerie van Defensie,Nederland,15 dagen geleden,2021-03-05,"Je hebt kennis en ervaring op het gebied van data.
Hier ondersteun je bij het werken met en toepassen van data.
Het belangrijkste kapitaal van Defensie?",€4.400 per maand,https://nl.indeed.com/rc/clk?jk=64825b9e741e8a60&fccid=0ae1208eb28c7486&vjs=3
22,Informatiemanager / Business Analist,Fontys,Eindhoven,24 dagen geleden,2021-03-05,"Als informatiemanager / business analist voor de diensten Financiën en P&O zijn je werkzaamheden divers:
Ben jij de informatiemanager / business analist die de…",€4.445 - €5.717 per maand,https://nl.indeed.com/rc/clk?jk=07b0178cd8c65029&fccid=70f6bf3f682bfcbe&vjs=3
23,Data analist Autoriteit woningcorporaties,Inspectie Leefomgeving en Transport,Utrecht,7 dagen geleden,2021-03-05,"Als data analist maak jij heldere analyses van een grote hoeveelheid data over woningcorporaties, waarmee de inspecteur, het management én de corporaties aan de…",,https://nl.indeed.com/rc/clk?jk=96560c4edd6b8e8b&fccid=9ac242948bd47f26&vjs=3
24,Data Analist Capacity Management,Bol.com,Utrecht,Zojuist geplaatst,2021-03-05,"Dat is meteen een van jouw uitdagingen: Met jouw unieke data-skills ontwikkel en verbeter je deze processen, IT services en/of (data science) modellen bestaande…",€3.000 - €4.400 per maand,https://nl.indeed.com/rc/clk?jk=07f6edef3ab12339&fccid=38c84708b80970a7&vjs=3
25,Data Analist,Shoeby,Rosmalen,9 dagen geleden,2021-03-05,"Jezelf blijven ontwikkelen binnen jouw vakgebied als data analist vind je belangrijk.
2-3 jaar ervaring als data analist binnen een commerciële omgeving;",,https://nl.indeed.com/rc/clk?jk=5c387427784186c2&fccid=8bba749fbcd86b10&vjs=3
26,Data Analist,Essent,Den Bosch,23 dagen geleden,2021-03-05,"Ben jij de enthousiaste analist die veel energie krijgt om onze klantbeleving op basis van NPS data te verbeteren?
Een positie waar we trots op zijn.",€3.152 - €4.902 per maand,https://nl.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQOBUdm9lgaCgkWLItaF_p8-3W8GeSKzFHLrNalKuDYVpbS65g9hCoOmfOuwbfukgAEnpHmvUbRB-sBlm7CmLWfkpW6F6M82gxigMA7ZfkpU72FDXBNQgC1Qfpj6phs6HKSiiUXn5jnTiE-kZICQkM_nnOLhHak4QrRr62t9wZ-dnDmNVnDBK11hy33SM6CcccOJRiS2G2hONkwkQnKcrtIRj6E3K7VfJvnBITF-lK-l15bjFYhPyWWfupsGNY9QlQuOszlX8MwsoR_j8qafoHFY9CG7EGWdV13bhgF4L4NmBoCBAyrGPoA3W8y8BJlOVWd9J4vrU7Z0aihjGuXAXjLvXjAT6u48Hy3L--1tdzapYMyND0RAtlxBKyR6IPC-zozx67I_BiooELovGzT4Gcj3ppgLF7lD3fC9-6p3-9tqKZX93Ps22CHGXsk_MWnaZjLwdpoNGOxfyJBjsZjuYthNbHF6N9xmC4no_OPM3ZIKuanLh-holjxmRH9AuOlq4ti7GdsFatetHEejeVc8OtiizzUUVHpRw5QC65YULRuYgVWPgTFJ5-t5cj14NGGXvNJgoQpembMOeCnkras_9-puu-wtRkcdjD5Z9v7oshIniKtB8eLNQDdpRMRt_eYbL_FDfJJiZrUg==&p=11&fvj=0&vjs=3
